Node: 0; Node: 60
Node: 1; Node: 12
Node: 2; Node: 38
Node: 3; Node: 10
Node: 4; Node: 12
Node: 5; Node: 42
Node: 6; Node: 1
Node: 7; Node: 3
Node: 8; Node: 16
Node: 9; Node: 4
Node: 10; Node: 7
Node: 11; Node: 1
Node: 12; Node: 2
Node: 13; Node: 1
Node: 14; Node: 26
Node: 15; Node: 2
Node: 16; Node: 3
Node: 17; Node: 8
Node: 18; Node: 9
Node: 19; Node: 7
Node: 20; Node: 2
Node: 21; Node: 2
Node: 22; Node: 10
Node: 23; Node: 2
Node: 24; Node: 1
Node: 25; Node: 1
Node: 26; Node: 3
Node: 27; Node: 2
Node: 28; Node: 2
Node: 29; Node: 8
Node: 30; Node: 1
Node: 31; Node: 4
Node: 32; Node: 1
Node: 33; Node: 5
Node: 34; Node: 1
Node: 35; Node: 1
Node: 36; Node: 1
Node: 37; Node: 1
Node: 38; Node: 7
Node: 39; Node: 1
Node: 40; Node: 1
Node: 41; Node: 3
Node: 42; Node: 1
Node: 43; Node: 2
Node: 44; Node: 1
Node: 45; Node: 1
Node: 46; Node: 1
Node: 47; Node: 2
Node: 48; Node: 3
Node: 49; Node: 1
Node: 50; Node: 1
Node: 51; Node: 1
Node: 52; Node: 4
Node: 53; Node: 2
Node: 54; Node: 3
Node: 55; Node: 2
Node: 56; Node: 2
Node: 57; Node: 1
Node: 58; Node: 1
Node: 59; Node: 1
Node: 60; Node: 1
Node: 61; Node: 1
Node: 62; Node: 2
Node: 63; Node: 1
Node: 64; Node: 2
Node: 65; Node: 3
Node: 66; Node: 1
Node: 67; Node: 1
Node: 68; Node: 1
Node: 69; Node: 1
Node: 70; Node: 1
Node: 71; Node: 1
Node: 72; Node: 1
Node: 73; Node: 1
Node: 74; Node: 1
Node: 75; Node: 1
Node: 76; Node: 3
Node: 77; Node: 1
Node: 78; Node: 1
Node: 79; Node: 2
Node: 80; Node: 1
Node: 81; Node: 2
Node: 82; Node: 2
Node: 83; Node: 1
Node: 84; Node: 2
Node: 85; Node: 2
Node: 86; Node: 1
Node: 87; Node: 1
Node: 88; Node: 1
Node: 89; Node: 1
Node: 90; Node: 1
Node: 91; Node: 1
Node: 92; Node: 1
Node: 93; Node: 1
Node: 94; Node: 1
Node: 95; Node: 2
Node: 96; Node: 1
Node: 97; Node: 1
Node: 98; Node: 1
Node: 99; Node: 1
