locus,symbols,datasets,datasetIDs,essentiality status,essentiality consensus
Q0045,COX1,1,350,NE,Nonessential
Q0050,AI1,1,350,NE,Nonessential
Q0055,AI2,1,350,NE,Nonessential
Q0060,AI3,1,350,NE,Nonessential
Q0065,AI4,1,350,NE,Nonessential
Q0070,AI5_ALPHA,1,350,NE,Nonessential
Q0075,AI5_BETA,1,350,NE,Nonessential
Q0080,ATP8,1,350,NE,Nonessential
Q0085,ATP6,1,350,NE,Nonessential
Q0105,COB,1,350,NE,Nonessential
Q0110,BI2,1,350,NE,Nonessential
Q0115,BI3,1,350,NE,Nonessential
Q0120,BI4,1,350,NE,Nonessential
Q0130,OLI1,1,350,NE,Nonessential
Q0140,VAR1,1,350,NE,Nonessential
Q0160,SCEI,1,350,NE,Nonessential
Q0250,COX2,1,350,NE,Nonessential
Q0255,Q0255,1,350,NE,Nonessential
Q0275,COX3,1,350,NE,Nonessential
R0010W,FLP1,1,350,NE,Nonessential
R0020C,REP1,1,350,NE,Nonessential
R0030W,RAF1,1,350,NE,Nonessential
R0040C,REP2,1,350,NE,Nonessential
YAL001C,TFC3,1,350,E,Essential
YAL002W,VPS8,1,350,NE,Nonessential
YAL003W,EFB1,1,350,E,Essential
YAL005C,SSA1,1,350,NE,Nonessential
YAL007C,ERP2,1,350,NE,Nonessential
YAL008W,FUN14,1,350,NE,Nonessential
YAL009W,SPO7,1,350,NE,Nonessential
YAL010C,MDM10,1,350,NE,Nonessential
YAL011W,SWC3,1,350,NE,Nonessential
YAL012W,CYS3,2,"350,458","NE,E",Conditional
YAL013W,DEP1,1,350,NE,Nonessential
YAL014C,SYN8,1,350,NE,Nonessential
YAL015C,NTG1,1,350,NE,Nonessential
YAL016W,TPD3,1,350,NE,Nonessential
YAL017W,PSK1,1,350,NE,Nonessential
YAL018C,YAL018C,1,350,NE,Nonessential
YAL019W,FUN30,1,350,NE,Nonessential
YAL020C,ATS1,1,350,NE,Nonessential
YAL021C,CCR4,1,350,NE,Nonessential
YAL022C,FUN26,1,350,NE,Nonessential
YAL023C,PMT2,1,350,NE,Nonessential
YAL024C,LTE1,1,350,NE,Nonessential
YAL025C,MAK16,1,350,E,Essential
YAL026C,DRS2,1,350,NE,Nonessential
YAL027W,SAW1,1,350,NE,Nonessential
YAL028W,FRT2,1,350,NE,Nonessential
YAL029C,MYO4,1,350,NE,Nonessential
YAL030W,SNC1,1,350,NE,Nonessential
YAL031C,GIP4,1,350,NE,Nonessential
YAL032C,PRP45,1,350,E,Essential
YAL033W,POP5,1,350,E,Essential
YAL034C,FUN19,1,350,NE,Nonessential
YAL034W-A,MTW1,1,350,E,Essential
YAL035W,FUN12,1,350,NE,Nonessential
YAL036C,RBG1,1,350,NE,Nonessential
YAL037C-A,YAL037C-A,1,350,NE,Nonessential
YAL037W,YAL037W,1,350,NE,Nonessential
YAL038W,CDC19,1,350,E,Essential
YAL039C,CYC3,1,350,NE,Nonessential
YAL040C,CLN3,1,350,NE,Nonessential
YAL041W,CDC24,1,350,E,Essential
YAL042W,ERV46,1,350,NE,Nonessential
YAL043C,PTA1,1,350,E,Essential
YAL044C,GCV3,1,350,NE,Nonessential
YAL044W-A,YAL044W-A,1,350,NE,Nonessential
YAL046C,AIM1,1,350,NE,Nonessential
YAL047C,SPC72,1,350,NE,Nonessential
YAL048C,GEM1,1,350,NE,Nonessential
YAL049C,AIM2,1,350,NE,Nonessential
YAL051W,OAF1,1,350,NE,Nonessential
YAL053W,FLC2,1,350,NE,Nonessential
YAL054C,ACS1,1,350,NE,Nonessential
YAL055W,PEX22,1,350,NE,Nonessential
YAL056W,GPB2,1,350,NE,Nonessential
YAL058W,CNE1,1,350,NE,Nonessential
YAL059W,ECM1,1,350,NE,Nonessential
