,closeness,betweenness,degree,eigenvector
entrez gene/locuslink:851136,0.4732354334438655,6.79485767010773e-05,80.0,0.019258807178755107
entrez gene/locuslink:854020,0.4801345722524832,4.68428772795889e-05,66.0,0.018643757282946535
entrez gene/locuslink:854290,0.4686840253342716,1.463627226642668e-05,56.0,0.017322396994157104
entrez gene/locuslink:852582,0.47696347576987347,6.571806752397668e-05,61.0,0.016269418576526945
entrez gene/locuslink:854933,0.4752993418444215,4.1553783509295855e-05,75.0,0.018261170770348414
entrez gene/locuslink:852607,0.42607335797554735,2.2218439089772896e-05,49.0,0.010974390239168299
entrez gene/locuslink:852665,0.4821040778573152,0.0003599622193649686,184.0,0.03276065036530277
entrez gene/locuslink:856911,0.4753370340999207,2.9789429403757986e-05,69.0,0.01931676129773968
entrez gene/locuslink:854776,0.4796734955185659,0.00036053104026905673,188.0,0.03079360204521404
entrez gene/locuslink:854227,0.4842462433349491,0.00023265307150206334,150.0,0.030575630536112303
entrez gene/locuslink:852865,0.44219845075617853,5.431988901001576e-05,84.0,0.01617956032307747
entrez gene/locuslink:854204,0.47477227722772275,6.699971504738084e-05,71.0,0.018206260093338478
entrez gene/locuslink:851318,0.45302698208752173,3.843653403262264e-05,54.0,0.007548717649624154
entrez gene/locuslink:851968,0.45790679908326964,1.3712265733033427e-05,27.0,0.005887198990788438
entrez gene/locuslink:855253,0.4444279676725736,3.5961141041806174e-05,63.0,0.007213766211020605
entrez gene/locuslink:850808,0.47597871833558325,7.801761007392147e-05,62.0,0.009934159868944574
entrez gene/locuslink:853195,0.4452863828838868,7.782184260124288e-06,26.0,0.005228671583651895
entrez gene/locuslink:852749,0.4235743057027772,6.707555304882463e-06,20.0,0.00343060646886806
entrez gene/locuslink:852357,0.4579767726161369,1.2647034049155344e-05,33.0,0.007765231618093444
entrez gene/locuslink:853509,0.4547109695038689,1.3134005179337816e-05,26.0,0.005852915252736624
entrez gene/locuslink:855888,0.470412808036415,9.162479003759749e-05,92.0,0.013426929051564862
entrez gene/locuslink:850623,0.45217260108630053,0.00011413863931575894,78.0,0.009717634444993385
entrez gene/locuslink:852757,0.471004243281471,0.00031057597828753036,191.0,0.03409120413664914
entrez gene/locuslink:851201,0.45710363761153056,8.461771868932567e-05,80.0,0.01082760943826722
entrez gene/locuslink:855952,0.44076770350761085,4.360082732733046e-05,53.0,0.007236655513024641
entrez gene/locuslink:856570,0.46414743689019666,0.00023039254935718084,109.0,0.014882249888258061
