orphaID	label	genes	n_genes	description	roots
Orphanet:166024	Multiple epiphyseal dysplasia, Al-Gazali type	KIF7	1	Multiple epiphyseal dysplasia, Al-Gazali type is a skeletal dysplasia characterized by multiple epiphyseal dysplasia (see this term), macrocephaly and facial dysmorphism.	Rare genetic developmental defect during embryogenesis;Rare genetic bone disease
Orphanet:166035	Brachydactyly-short stature-retinitis pigmentosa syndrome	CWC27	1	Brachydactyly-short stature-retinitis pigmentosa syndrome is a rare, genetic, congenital limb malformation syndrome characterized by mild to severe short stature, brachydactyly, and retinal degeneration (usually retinitis pigmentosa), associated with variable intellectual disability, develomental delays, and craniofacial anomalies.	Rare genetic neurological disorder;Rare genetic developmental defect during embryogenesis;Rare genetic eye disease;Rare genetic bone disease
Orphanet:93	Aspartylglucosaminuria	AGA	1	An autosomal recessive lysosomal storage disease belonging to the oligosaccharidosis group (also called glycoproteinosis).	Rare genetic bone disease;Rare genetic developmental defect during embryogenesis;Rare inborn errors of metabolism;Rare genetic neurological disorder
Orphanet:585	Multiple sulfatase deficiency	SUMF1	1	Multiple sulfatase deficiency (MSD) is a very rare and fatal lysosomal storage disease characterized by a clinical phenotype that combines the features of different sulfatase deficiencies (whether lysosomal or not) that can have neonatal (most severe), infantile (most common) and juvenile (rare) presentations with manifestations including hypotonia, coarse facial features, mild deafness, skeletal anomalies, ichthyosis, hepatomegaly, developmental delay, progressive neurologic deterioration and hydrocephalus.	Rare genetic bone disease;Rare genetic neurological disorder;Rare genetic developmental defect during embryogenesis;Rare genetic eye disease;Rare inborn errors of metabolism;Rare genetic skin disease
Orphanet:118	Beta-mannosidosis	MANBA	1	Beta-mannosidosis is a very rare lysosomal storage disease characterized by developmental delay of varying severity and hearing loss, but that can manifest a wide phenotypic heterogeneity.	Rare genetic neurological disorder;Rare genetic bone disease;Rare genetic developmental defect during embryogenesis;Rare inborn errors of metabolism;Rare genetic cardiac disease
Orphanet:166068	Pontocerebellar hypoplasia type 5	TSEN54	1	Pontocerebellar hypoplasia type 5 (PCH5) is a very rare severe form of PCH (see this terme) with prenatal onset and characterized by fetal onset of clonus or seizures-like activity persisting in infancy and microencephaly leading to early postnatal death. There is significant overlap both in phenotype and in genotype between pontocerebellar hypoplasia types 4 and 5.	Rare genetic neurological disorder;Rare genetic developmental defect during embryogenesis
Orphanet:166063	Pontocerebellar hypoplasia type 4	TSEN54	1	Pontocerebellar hypoplasia type 4 (PCH4) is a very rare form of PCH (see this term), characterized by prenatal onset of polyhydramnios and contractures followed by hypertonia, severe clonus, primary hypoventilation leading to an early postnatal death.	Rare genetic neurological disorder;Rare genetic developmental defect during embryogenesis
Orphanet:166078	Von Willebrand disease type 1	VWF	1	Type 1 von Willebrand disease (type 1 VWD) is a form of VWD (see this term) characterized by a bleeding disorder associated with a partial quantitative plasmatic deficiency of an otherwise structurally and functionally normal Willebrand factor (von Willebrand factor; VWF).	Rare genetic hematologic disease
Orphanet:166073	Pontocerebellar hypoplasia type 6	RARS2	1	Pontocerebellar hypoplasia type 6 (PCH6) is a rare form of pontocerebellar hypoplasia (see this term) characterized clinically at birth by hypotonia, clonus, epilepsy impaired swallowing and from infancy by progressive microencephaly, spasticity and lactic acidosis.	Rare genetic developmental defect during embryogenesis;Rare inborn errors of metabolism;Rare genetic neurological disorder
Orphanet:333	Farber disease	ASAH1	1	A subcutaneous tissue disease characterized by a spectrum of clinical signs ranging from the classical triad of painful and progressively deformed joints, subcutaneous nodules, and progressive hoarseness (due to laryngeal involvement) that presents in infancy, to varying phenotypes with respiratory and neurologic involvement.	Rare genetic neurological disorder;Rare genetic eye disease;Rare genetic skin disease;Rare inborn errors of metabolism
Orphanet:166084	Von Willebrand disease type 2A	VWF	1	Type 2A von Willebrand disease (type 2A VWD) is a subtype of type 2 VWD (see this term) characterized by a bleeding disorder associated with a decrease in the affinity of the Willebrand factor (von Willebrand factor; VWF) for platelets and the subendothelium caused by a deficiency of high molecular weight VWF multimers.	NA
Orphanet:349	Fucosidosis	FUCA1	1	Fucosidosis is an extremely rare lysosomal storage disorder characterized by a highly variable phenotype with common manifestations including neurologic deterioration, coarse facial features, growth retardation, and recurrent sinopulmonary infections, as well as seizures, visceromegaly, angiokeratoma and dysostosis.	Rare genetic bone disease;Rare genetic developmental defect during embryogenesis;Rare inborn errors of metabolism;Rare genetic cardiac disease
Orphanet:166090	Von Willebrand disease type 2M	VWF	1	Type 2M von Willebrand disease (type 2M VWD) is a subtype of type 2 VWD (see this term) characterized by a bleeding disorder associated with a decrease in the affinity of the Willebrand factor (von Willebrand factor; VWF) for platelets and the subendothelium in the absence of any deficiency of high molecular weight VWF multimers.	NA
Orphanet:366	Glycogen storage disease due to glycogen debranching enzyme deficiency	AGL	1	Glycogen debranching enzyme (GDE) deficiency, or glycogen storage disease type 3 (GSD 3), is a form of glycogen storage disease characterized by severe muscle weakness and hepatopathy.	Rare genetic hepatic disease;Rare inborn errors of metabolism;Rare genetic neurological disorder;Rare genetic cardiac disease
Orphanet:166087	Von Willebrand disease type 2B	VWF	1	Type 2B von Willebrand disease (type 2B VWD) is a subtype of type 2 VWD (see this term) characterized by a bleeding disorder associated with an increase in the affinity of the Willebrand factor (von Willebrand factor; VWF) for platelets. This anomaly results in spontaneous binding of high molecular weight VWF multimers to platelets leading to rapid clearance of both the platelets (increasing the risk of thrombocytopenia) and the high molecular weight VWF multimers from the plasma.	NA
Orphanet:368	Glycogen storage disease due to muscle glycogen phosphorylase deficiency	PYGM	1	Myophosphorylase deficiency (McArdle's disease), or glycogen storage disease type 5 (GSD5) , is a severe form of glycogen storage disease characterized by exercise intolerance.	Rare inborn errors of metabolism;Rare genetic neurological disorder
Orphanet:166093	Von Willebrand disease type 2N	VWF	1	Type 2N von Willebrand disease (type 2N VWD) is a subtype of type 2 VWD (see this term) characterized by a bleeding disorder associated with a marked decrease in the affinity of the Willebrand factor (von Willebrand factor; VWF) for factor VIII (FVIII).	NA
Orphanet:166096	Von Willebrand disease type 3	VWF	1	Type 3 von Willebrand disease (type 3 VWD) is the most severe form of VWD (see this term) characterized by a bleeding disorder associated with a total or near-total absence of Willebrand factor (von Willebrand factor; VWF) in the plasma and cellular compartments, also leading to a profound deficiency of plasmatic factor VIII (FVIII).	Rare genetic hematologic disease
