0.0894324656,0.7704386561,0.4879286872,254,191,90,120,club Mr. Hi; nodeID 0
0.4878207285,0.6931919126,0.5925122912,254,191,90,120,club Mr. Hi; nodeID 1
0.5379771129,0.4168560466,0.7484061987,254,191,90,120,club Mr. Hi; nodeID 2
0.2148620222,0.6410180888,0.798817746,254,191,90,120,club Mr. Hi; nodeID 3
0.1299788331,0.984040036,0.5292119816,254,191,90,120,club Mr. Hi; nodeID 4
0.0689305957,0.9576541134,0.2870123917,254,191,90,120,club Mr. Hi; nodeID 5
0.2244961012,1.0,0.3755031307,254,191,90,120,club Mr. Hi; nodeID 6
0.3795137608,0.659012671,0.8322626698,254,191,90,120,club Mr. Hi; nodeID 7
0.7338797419,0.3701376642,0.3203231931,254,191,90,120,club Mr. Hi; nodeID 8
0.56328736,0.3070181742,0.5767853001,244,61,37,120,club Officer; nodeID 9
0.0,0.9313360765,0.4856244079,254,191,90,120,club Mr. Hi; nodeID 10
0.1458677101,0.853151701,0.4714786112,254,191,90,120,club Mr. Hi; nodeID 11
0.1153498475,0.7450515263,0.7310394562,254,191,90,120,club Mr. Hi; nodeID 12
0.3294212854,0.595598078,0.6775401584,254,191,90,120,club Mr. Hi; nodeID 13
0.903709259,0.1675414493,0.2902828252,244,61,37,120,club Officer; nodeID 14
0.6790424132,0.1986394476,0.0,244,61,37,120,club Officer; nodeID 15
0.2694629648,0.9437229969,0.3134200468,254,191,90,120,club Mr. Hi; nodeID 16
0.3256441135,0.7537103202,0.4983649357,254,191,90,120,club Mr. Hi; nodeID 17
0.8008616926,0.1949078762,0.0540710616,244,61,37,120,club Officer; nodeID 18
0.4499288917,0.6985229877,0.4157059257,254,191,90,120,club Mr. Hi; nodeID 19
0.720049233,0.2192818746,0.2419133587,244,61,37,120,club Officer; nodeID 20
0.3338111745,0.7899224987,0.6712811276,254,191,90,120,club Mr. Hi; nodeID 21
0.9851831376,0.2348238346,0.1763703214,244,61,37,120,club Officer; nodeID 22
0.8617507351,0.0,0.5925398296,244,61,37,120,club Officer; nodeID 23
0.7725153863,0.0187170495,0.9250672257,244,61,37,120,club Officer; nodeID 24
0.8989980927,0.0470034093,0.9374601453,244,61,37,120,club Officer; nodeID 25
0.6664171267,0.0936526677,0.2554949748,244,61,37,120,club Officer; nodeID 26
0.7729123146,0.0387353446,0.7287167841,244,61,37,120,club Officer; nodeID 27
0.7042544869,0.1958272986,0.8888358474,244,61,37,120,club Officer; nodeID 28
0.7992339398,0.0517598525,0.3106132052,244,61,37,120,club Officer; nodeID 29
0.8429457244,0.355723214,0.1879251471,244,61,37,120,club Officer; nodeID 30
0.7963256984,0.1066293569,1.0,244,61,37,120,club Officer; nodeID 31
1.0,0.1721802618,0.0743577651,244,61,37,120,club Officer; nodeID 32
0.6198134629,0.187354063,0.340398043,244,61,37,120,club Officer; nodeID 33
